Squad;Competition;Takles Z1;Takles Z2;Takles Z3;Pressure Z1;Pressure Z2;Pressure Z3;Touches Z1;Touches Z2;Touches Z3;Takles Z1 /90;Takles Z2 /90;Takles Z3 /90;Pressure Z1 /90;Pressure Z2 /90;Pressure Z3 /90;Touches Z1 /90;Touches Z2 /90;Touches Z3 /90
Bologna;Serie A;48.96;37.01;14.03;34.43;41.59;23.98;33.06;47.09;26.22;7.81;5.9;2.24;47.86;57.81;33.33;201.71;287.38;160.0
Cagliari;Serie A;47.89;38.25;13.86;34.42;43.4;22.18;35.24;46.67;25.15;7.57;6.05;2.19;49.43;62.33;31.86;196.48;260.24;140.24
Crotone;Serie A;55.23;33.51;11.26;36.37;42.1;21.53;39.87;46.28;19.49;9.81;5.95;2.0;48.1;55.67;28.48;238.43;276.76;116.57
Fiorentina;Serie A;49.24;36.25;14.5;32.37;44.63;23.0;29.23;51.22;26.25;7.76;5.71;2.29;42.62;58.76;30.29;179.14;313.86;160.86
Genoa;Serie A;51.62;35.14;13.24;36.53;43.86;19.61;38.37;46.52;19.83;9.1;6.19;2.33;54.1;64.95;29.05;216.33;262.33;111.81
Hellas Verona;Serie A;51.48;40.98;7.54;32.85;45.47;21.68;32.63;48.9;24.15;7.48;5.95;1.1;43.86;60.71;28.95;185.0;277.24;136.95
Inter;Serie A;40.72;42.35;16.94;30.25;43.2;26.55;29.82;48.91;28.01;5.95;6.19;2.48;39.29;56.1;34.48;203.52;333.81;191.14
Juventus;Serie A;45.86;42.31;11.83;32.13;42.59;25.27;31.36;50.09;24.97;7.75;7.15;2.0;41.0;54.35;32.25;231.45;369.65;184.3
Lazio;Serie A;49.13;38.21;12.66;34.16;44.86;20.98;33.9;46.47;26.09;9.43;7.33;2.43;48.38;63.52;29.71;219.38;300.71;168.86
Milan;Serie A;49.33;40.0;10.67;32.78;46.82;20.4;32.88;47.59;26.2;8.81;7.14;1.9;48.05;68.62;29.9;201.67;291.86;160.71
Napoli;Serie A;44.21;44.21;11.57;29.52;43.2;27.28;28.84;50.31;27.21;7.45;7.45;1.95;36.15;52.9;33.4;210.7;367.6;198.8
Parma;Serie A;55.59;35.69;8.72;39.46;42.39;18.15;37.56;48.26;20.47;9.71;6.24;1.52;57.05;61.29;26.24;221.95;285.14;120.95
Roma;Serie A;36.99;50.16;12.85;29.12;48.2;22.68;30.47;52.19;24.34;5.62;7.62;1.95;38.52;63.76;30.0;194.38;332.95;155.29
Sampdoria;Serie A;48.92;40.32;10.75;33.42;43.6;22.98;34.66;44.66;26.11;8.67;7.14;1.9;54.43;71.0;37.43;192.52;248.05;145.05
Sassuolo;Serie A;54.05;31.23;14.71;34.3;41.39;24.31;33.09;49.65;23.89;8.57;4.95;2.33;39.38;47.52;27.9;232.29;348.57;167.71
Spezia;Serie A;48.88;39.39;11.73;30.86;46.6;22.55;35.06;49.19;21.71;8.33;6.71;2.0;42.95;64.86;31.38;208.05;291.95;128.86
Torino;Serie A;49.13;37.21;13.66;36.1;44.47;19.44;36.64;48.08;21.79;8.05;6.1;2.24;44.57;54.9;24.0;215.38;282.67;128.1
Udinese;Serie A;54.55;36.08;9.38;39.31;39.64;21.05;33.07;46.29;27.34;9.14;6.05;1.57;51.14;51.57;27.38;185.1;259.05;153.0
